keyword,title,abstract,creator,date,journal,doi,language
crusades,Book Review : Arab Historians of the Crusades Francesco Gabrielli,,,,Estudios de Asia y Africa,,
saka,Book Review : Education and Popular Literacy in Ch'ing China Evelin Sakakida Rawski,,,,Estudios de Asia y Africa,,
antes,Book Review : Fusang; Chinos en América antes de Colón Gustavo M. Vargas,,,,Estudios de Asia y Africa,,
antes,Book Review : Japonés para hispanohablantes Ryuji Oki,,,,Estudios de Asia y Africa,,
antes,Book Review : Nuevas cartas edificantes y curiosas escritas desde el Extremo Oriente por ilustrados viajeros chinos durante la Bella Época André Lévy,,,,Estudios de Asia y Africa,,
abbasid,Book Review : Popular Dimensions of the 'Abbasid Revolution. A Case Study of Medieval Social History Roberto Marín Guzmán,,,,Estudios de Asia y Africa,,
angles,Book Review : Stitches on Time: Colonial Textures and Postcolonial Tangles Saurabh Dube,,,,Estudios de Asia y Africa,,
arthur,Book Review : The Deep Woods' Business; Uncollected Translations from the Chinese by Arthur R. V. Cooper Arthur Cooper,,,,Estudios de Asia y Africa,,
saka,Book Review : The Last Emperors. A Social History of Qing Imperial Institutions Evelyn Sakakida Rawsky,,,,Estudios de Asia y Africa,,
early middle ages,"Book Review : The Tibetan Empire in Central Asia: A History of the Struggle for Great Power among Tibetans, Turks, Arabs and Chinese during the Early Middle Ages Christopher I. Becwith",,,,Estudios de Asia y Africa,,
antes,Book Review : Sánscrito: método de enseñanza para hispanohablantes,,,,Estudios de Asia y Africa,,
antes,Calcuta: prácticas de los habitantes y estrategias de los tomadores de decisiones en una ciudad en crisis,,,,Estudios de Asia y Africa,,
arianism,Del anticuarianismo a la arqueología: el estudio del pasado como guía moral y como medio de legitimar el poder en China,,,,Estudios de Asia y Africa,,
antes,Desarrollo Planificado en la India: I. Revisión de los cambios importantes ocurridos entre 1950 y 1975. II. Reflexiones en torno a posibles opciones: 1980-2000,,,,Estudios de Asia y Africa,,
beowulf,El cuento de Zhou Chu: ¿un precursor sinotibetano de la Edad Media temprana de Beowulf?,,,,Estudios de Asia y Africa,,
antes,"El sistema antroponímico de los hijos de inmigrantes de origen arabomusulmán en el sur de Francia, durante la segunda mitad del siglo XX",,,,Estudios de Asia y Africa,,
antes,"Entre México y Japón. Los habitantes del ""pedregal""",,,,Estudios de Asia y Africa,,
antes,LOS DERECHOS DE LOS INFANTES Y EL SAQUEO DE RECURSOS MINERALES EN LA REPÚBLICA DEMOCRÁTICA DEL CONGO: LA INTERNACIONALIZACIÓN DE LA CRIMINALIZACIÓN DEL ESTADO,,,,Estudios de Asia y Africa,,
antes,La gestación de la independencia: la resistencia de los grupos subordinados y la lucha por el poder de los grupos dominantes en las Filipinas durante el siglo XIX,,,,Estudios de Asia y Africa,,
antes,La unificación del hinduismo antes de la época colonial,,,,Estudios de Asia y Africa,,
antes,Las consonantes nasales del dialecto pequinés y sus contrapartes con el idioma español,,,,Estudios de Asia y Africa,,
antes,Las familias inmigrantes punjabi-mexicanas en las zonas rurales de California (1915-1965): conflicto y compatibilidad,,,,Estudios de Asia y Africa,,
antes,"Los fertilizantes químicos en China, nexo vital entre los hidrocarburos y la agricultura",,,,Estudios de Asia y Africa,,
christianization,Misión Sangley. La cristianización entre los chinos de Filipinas en el cambio del siglo XVI al XVII / Sangley Mission. Christianization of the Philippines' Chinese in the turn of the Sixteenth to the Seventeenth Century,,,,Estudios de Asia y Africa,,
antes,"Monjes, estudiantes y militares: la crisis de 1974 y el principio del fin del régimen militar socialista de Birmania / Monks, students and military: The 1974 crisis and the beginning of the end for Burma’s Socialist Military Regime",,,,Estudios de Asia y Africa,,
antes,NEGOCIACIONES DEL ARCHIVO <em>DESDE ABAJO</em>: EL CASO DE LOS VENDEDORES AMBULANTES MOVILIZADOS EN CALCUTA,,,,Estudios de Asia y Africa,,
antes,"Nuevos aportes para el estudio de los inmigrantes árabes en México, siglos XIX-XXI",,,,Estudios de Asia y Africa,,
antes,"Pigmeos, primates y elefantes: percepciones populares en Occidente y actitudes locales hacia la fauna y el medio ambiente selvático",,,,Estudios de Asia y Africa,,
antes,"Problem as fonéticos en la enseñanza del chino a los hispanohablantes: la utilidad de una lista de ""sonidos difíciles""",,,,Estudios de Asia y Africa,,
antes,Prácticas comerciales entre migrantes africanos wolofs en Argentina - Commercial Practices among African Wolof Migrants in Argentina,,,,Estudios de Asia y Africa,,
antes,"UN INTENTO PARA RECUPERAR UNA HISTORIA PERDIDA. LA LITERATURA DE LOS INMIGRANTES JAPONESES EN CANADÁ Y SUZUKI ETSU, PERIODISTA DE LA DIÁSPORA",,,,Estudios de Asia y Africa,,
saka,"“Nichigetsu-sama” [Soliluna], un cuento de Ango Sakaguchi - “Nichigetsu-sama”, a story by Ango Sakaguchi",,,,Estudios de Asia y Africa,,
antes,AS PARTEIRAS-CHEFES DA MATERNIDADE PORT-ROYAL DE PARIS NO SÉCULO XIX: OBSTETRAS ANTES DO TEMPO?,,,,Estudos Feministas,,
antes,Cartografias militantes - Activists Cartographies,,,,Estudos Feministas,,
antes,Da violência obstétrica ao empoderamento de pessoas gestantes no trabalho das doulas,,,,Estudos Feministas,,
antes,"De mancebas auxiliares do demônio a devotas congregantes: mulheres e condutas em transformação (reduções jesuítico-guaranis, séc. XVII)",,,,Estudos Feministas,,
antes,Entre a Saudade da Terra e a América: mulheres imigrantes,,,,Estudos Feministas,,
antes,"Errata: Mulheres migrantes no passado e no presente: gênero, redes sociais e migração internacional",,,,Estudos Feministas,,
antes,"Estereotipos, identidades, y nichos económicos de las migrantes brasileñas en Madrid",,,,Estudos Feministas,,
antes,INTELECTUAIS & MILITANTES E AS POSSIBILIDADES DE DIÁLOGO,,,,Estudos Feministas,,
antes,Laboriosas mas redundantes: gênero e mobilidade no trabalho no Brasil dos 90,,,,Estudos Feministas,,
antes,Memorias de las militancias femeninas antes del Golpe de Estado (Valparaíso),,,,Estudos Feministas,,
antes,Migraciones y géneros. Formas de narrar los movimientos por parte de migrantes bolivianos/as en Argentina,,,,Estudos Feministas,,
antes,Migrantes por amor?,,,,Estudos Feministas,,
antes,Militantes e radicais da quarta onda,,,,Estudos Feministas,,
antes,Militantes invisíveis,,,,Estudos Feministas,,
antes,Mulheres em construção: o papel das mulheres mutirantes na construção de casas populares,,,,Estudos Feministas,,
antes,"Mulheres migrantes no passado e no presente: gênero, redes sociais e migração internacional",,,,Estudos Feministas,,
antes,"Mães ""abandonantes"": fragmentos de uma história silenciada",,,,Estudos Feministas,,
antes,Presente y futuro de la igualdad con perspectiva de género en el Marco de la UE tras la Presidencia Española: un antes y un después del Plan de Trabajo 2006-2010,,,,Estudos Feministas,,
antes,Revista íntima de mulheres visitantes em presídios - Intimate Body Searches of Women Visitors to Prisons,,,,Estudos Feministas,,
antes,Trayectorias rayectorias de vida y relaciones de dominación. Las trabajadoras migrantes en Buenos Aires,,,,Estudos Feministas,,
antes,"Violencia y contrapoder: una ventana al mundo de las mujeres indígenas migrantes, en México",,,,Estudos Feministas,,
arianism,Autonomy-Based Reasons for Limitarianism,,,,Ethical Theory and Moral Practice,,
arianism,Book Review : Egalitarianism: New Essays on the Nature and Value of Equality Nils Holtug Kasper Lippert-Rasmussen,,,,Ethical Theory and Moral Practice,,
arianism,Book Review : Luck Egalitarianism Bloomsbury Academic Kasper Lippert-Rasmussen,,,,Ethical Theory and Moral Practice,,
arianism,Choices Chance and Change: Luck Egalitarianism Over Time,,,,Ethical Theory and Moral Practice,,
arianism,Equality of Opportunity and Other-Affecting Choice: Why Luck Egalitarianism Does Not Require Brute Luck Equality,,,,Ethical Theory and Moral Practice,,
arianism,Evolution and Utilitarianism,,,,Ethical Theory and Moral Practice,,
arianism,Green Libertarianism,,,,Ethical Theory and Moral Practice,,
arianism,On the Incoherence Objection to Rule-Utilitarianism,,,,Ethical Theory and Moral Practice,,
arianism,Prioritarianism and the Levelling Down Objection,,,,Ethical Theory and Moral Practice,,
arianism,"Prioritarianism, Levelling Down and Welfare Diffusion",,,,Ethical Theory and Moral Practice,,
arianism,Reconciling Justice and Pleasure in Epicurean Contractarianism,,,,Ethical Theory and Moral Practice,,
arianism,Reparations and Egalitarianism,,,,Ethical Theory and Moral Practice,,
arianism,The Case for Emissions Egalitarianism,,,,Ethical Theory and Moral Practice,,
arianism,The Coherence of Luck Egalitarianism,,,,Ethical Theory and Moral Practice,,
arianism,The Harshness Objection: Is Luck Egalitarianism Too Harsh on the Victims of Option Luck?,,,,Ethical Theory and Moral Practice,,
arianism,Why Levelling down Could Be Worse for Prioritarianism than for Egalitarianism,,,,Ethical Theory and Moral Practice,,
arianism,Act-Utilitarianism and Collective Action,,,,Ethics,,
arianism,"Book Review : Contractarianism and Rational Choice: Essays on David Gauthier's ""Morals by Agreement."" Peter Vallentyne",,,,Ethics,,
arthur,Book Review : If I Were a Rich Man Could I Buy a Pancreas? And Other Essays on the Ethics of Health Care Arthur L. Caplan,,,,Ethics,,
arianism,"Book Review : Morality, Utilitarianism, and Rights Richard B. Brandt",,,,Ethics,,
arianism,Book Review : Luck Egalitarianism,,,,Ethics,,
arianism,Book Review : Utilitarianism and the Ethics of War,,,,Ethics,,
arianism,"Book Review : Why Inequality Matters: Luck Egalitarianism, Its Meaning and Value",,,,Ethics,,
arianism,Can Libertarianism Sustain a Fraud Standard?,,,,Ethics,,
arianism,Classical Utilitarianism and Parfit's Repugnant Conclusion: A Reply to McMahan,,,,Ethics,,
arianism,Contractarianism and Norms,,,,Ethics,,
arianism,Contractarianism and the Scope of Justice,,,,Ethics,,
arianism,"Convention, Contractarianism, and Freedom",,,,Ethics,,
arianism,Egalitarianism Defended,,,,Ethics,,
arianism,Egalitarianism about Expected Utility,,,,Ethics,,
arianism,Egalitarianism and Compassion,,,,Ethics,,
arianism,Egalitarianism and Normal Judgments,,,,Ethics,,
arianism,Egalitarianism and Personal Desert,,,,Ethics,,
arianism,Egalitarianism and Relevance,,,,Ethics,,
arianism,"Egalitarianism, Fetishistic and Otherwise",,,,Ethics,,
arianism,"Egalitarianism, Option Luck, and Responsibility",,,,Ethics,,
arianism,Extreme Utilitarianism: A Reply to M. A. Kaplan,,,,Ethics,,
arianism,Forms and Limits of Utilitarianism,,,,Ethics,,
arianism,"Hegel, Utilitarianism, and the Common Good",,,,Ethics,,
arianism,Hume's Non-Utilitarianism,,,,Ethics,,
arianism,John Locke and Utilitarianism,,,,Ethics,,
arianism,Legal Utilitarianism,,,,Ethics,,
arianism,Liberalism and Utilitarianism,,,,Ethics,,
arianism,"Liberalism, Utilitarianism, and Fanaticism: R. M. Hare Defended",,,,Ethics,,
arianism,Luck Egalitarianism and Prioritarianism,,,,Ethics,,
arianism,Nondeliberative Utilitarianism,,,,Ethics,,
arianism,Normative Utilitarianism and Naturalism,,,,Ethics,,
arianism,Parfit's Impact on Utilitarianism,,,,Ethics,,
arianism,"Persons, Selves, and Utilitarianism",,,,Ethics,,
arianism,Restricted Utilitarianism,,,,Ethics,,
arianism,Some Greek Views of Democracy and Totalitarianism,,,,Ethics,,
arianism,The Egalitarianism of Human Rights,,,,Ethics,,
arianism,The Limits of Utilitarianism and Beyond,,,,Ethics,,
arianism,Utilitarianism,,,,Ethics,,
arianism,Utilitarianism and Virtue,,,,Ethics,,
arianism,Utilitarianisms,,,,Ethics,,
teke,Where were the gatekeepers?,,,,Ethics and Auditing,,
arianism,"Heidegger's Support for Deep Ecology Reexamined Once Again: Ontological Egalitarianism, or Farewell to the Great Chain of Being",,,,Ethics and the Environment,,
arianism,Vegetarianism and Planetary Health,,,,Ethics and the Environment,,
arianism,Utilitarianism,,,,Ethics for A-Level,,
arianism,Variants of authoritarianism,,,,Ethiopia’s democratic predicaments: State–society dynamics and the balance of power,,
arthur,HEALTH INDICES AS PREDICTORS OF COGNITION AMONG OLDER AFRICAN AMERICANS: MacARTHUR STUDIES OF SUCCESSFUL AGING,,,,Ethnicity & Disease,,
samo,Impacts of Long-Term Obesity on the Health Status of Samoan and Tongan Men in the United States,,,,Ethnicity & Disease,,
samo,PRESSOR REACTIVITY IN AMERICAN SAMOAN CHILDREN: COMPARISONS WITH MAINLAND AMERICAN CHILDREN,,,,Ethnicity & Disease,,
samo,Prevalence and Predictors of Smoking Behavior Among Samoans in Three Geographical Regions,,,,Ethnicity & Disease,,
antes,Book Review : Histoire et Voyages des Plantes Cultivèes à Madagascar avant le XVIe Siècle,,,,Ethnobiology Letters,,
viking,Viking Games and Saami Pastimes,,,,Ethnobiology Letters,,
danes,Religious Paradigms of the Sudanese Mahdîyah,,,,Ethnohistory,,
samo,"The Teacher and His Copra: Debts, Taxes, and Resistance in Colonial Samoa",,,,Ethnohistory,,
antes,Agrément ou désagrément: Le statut des assistantes maternelles : ambiguïtés et réticences,,,,Ethnologie fran?aise,,
antes,Book Review : Os moliceiros da Ria de Aveiro. Quadros flutuantes 2 e éd Clara Sarmento,,,,Ethnologie fran?aise,,
arthur,Book Review : Au commencement était le rite. De l'origine des sociétés humaines Arthur Maurice Hocart Lucien Scubla,,,,Ethnologie fran?aise,,
antes,Book Review : Badasson & Cie. Tradition médicinale et autres usages des plantes en haute Provence Pierre Lieutaghi,,,,Ethnologie fran?aise,,
antes,"Book Review : Des simples à l'essentiel. De l'herboristerie à l'aromathérapie, pratiques et représentations des plantes médicinales Raphaële Garreta",,,,Ethnologie fran?aise,,
anglo-saxon,Book Review : Diffusion des sports et impérialisme anglo-saxon. De l'histoire événementielle à l'anthropologie Sébastien Darbon,,,,Ethnologie fran?aise,,
laeti,Book Review : La revanche des Chamanes Laetitia Merli,,,,Ethnologie fran?aise,,
antes,"Book Review : La santa compañia. Fantesias reales, realidades fantásticas Carmelo Lisón-Tolosana",,,,Ethnologie fran?aise,,
antes,Book Review : Le miroir du cœur. Quatre siècles d'images savantes et populaires Anne Sauvy,,,,Ethnologie fran?aise,,
antes,"Book Review : Patrimoine et communautés savantes, coll. « Art & Société » Soraya Boudia Anne Rasmussen Sébastien Soubiran François Hartog Jean Davallon Rennes",,,,Ethnologie fran?aise,,
saka,Book Review : Styles and Positions. Ethnographic Perspectives in Comparative Religion Heikki Pesonen Tuula Sakaranaho Tom Sjöblom Terhi Utriainen,,,,Ethnologie fran?aise,,
burgundy,Book Review : Burgundy. A global anthropology of place and taste coll. New Directions in Anthropology,,,,Ethnologie fran?aise,,
antes,Book Review : Une ethnologue au Jardin des plantes. Dix petits terrains,,,,Ethnologie fran?aise,,
antes,Chanteurs de plein vent et chansons sur feuilles volantes en Basse-Bretagne,,,,Ethnologie fran?aise,,
antes,Chants des Églises protestantes et expression populaire,,,,Ethnologie fran?aise,,
alans,De part et d'autre de la frontière franco-espagnole: Trajectoires identitaires des Gitans catalans,,,,Ethnologie fran?aise,,
antes,Des négociantes à la valise dans les villes sino-mongoles,,,,Ethnologie fran?aise,,
antes,Hommes détenus et femmes soignantes : l'intimité des soins en prison,,,,Ethnologie fran?aise,,
antes,Hérédités plurielles: Représentations populaires et conceptions savantes du métissage,,,,Ethnologie fran?aise,,
antes,Instituer le souvenir de l'esclavage en Guadeloupe et à Nantes,,,,Ethnologie fran?aise,,
angles,L'invention féminine à Angles-sur-l'Anglin (Vienne): Les « jours » et leurs dénominations,,,,Ethnologie fran?aise,,
antes,Le statu quo religieux en Israël : des lignes de front mouvantes,,,,Ethnologie fran?aise,,
antes,"Les convertis à l'islam en France, entre liens originels et recompositions croyantes",,,,Ethnologie fran?aise,,
antes,Mémoires migrantes: Migration et idéologie de la mémoire sociale,,,,Ethnologie fran?aise,,
antes,Mémoires militantes corses dans le Niolu,,,,Ethnologie fran?aise,,
arthur,Sir Arthur Conan Doyle et les esprits photographiés,,,,Ethnologie fran?aise,,
antes,Sœurs en islam : des étudiantes pratiquantes en « résistance »,,,,Ethnologie fran?aise,,
antes,"« Tuer le cochon » à Brantes, Vaucluse",,,,Ethnologie fran?aise,,
arianism,Debunking Marianismo: Economic Vulnerability and Survival Strategies among Guatemalan Wives,,,,Ethnology,,
arianism,Egalitarianism in an Autocratic Village in Israel,,,,Ethnology,,
arianism,From Egalitarianism to Inequality: The Children of Peace in Nineteenth Century Ontario,,,,Ethnology,,
samo,Giving and Receiving: Participation in Chiefly Redistribution Activities in Samoa,,,,Ethnology,,
samo,"Optation, Cognatic Descent, and Redistributions in Samoa",,,,Ethnology,,
samo,Political Change in Tahiti and Samoa: An Exercise in Experimental Anthropology,,,,Ethnology,,
samo,THE WEIGHT OF NAMES IN AMERICAN SAMOA,,,,Ethnology,,
samo,The Samoan Funeral in Urban America,,,,Ethnology,,
saka,"Book Review : Angry Drummers: A Taiko Group from Osaka, Japan",,,,Ethnomusicology,,
"angles, danes",Book Review : Erotic Triangles: Sundanese Dance and Masculinity in West Java,,,,Ethnomusicology,,
late antiquity,Chinese Cyclic Tunings in Late Antiquity,,,,Ethnomusicology,,
danes,"Instruments of Power: Sundanese ""Multi-Laras"" Gamelan in New Order Indonesia",,,,Ethnomusicology,,
christianization,"Ritual Music and Christianization in the Toraja Highlands, Sulawesi",,,,Ethnomusicology,,
samo,Samoan Musical Instruments,,,,Ethnomusicology,,
danes,"Theory in Institutional Pedagogy and ""Theory in Practice"" for Sundanese Gamelan Music",,,,Ethnomusicology,,
samo,"""Ferocious is the Centipede"": A Study of the Significance of Eating and Speaking in Samoa",,,,Ethos,,
samo,Interactions of Temperament and Culture: The Organization of Diversity in Samoan Infancy,,,,Ethos,,
samo,Ma'i Aitu: The Cultural Logic of Possession in Samoa,,,,Ethos,,
samo,"Mead, Freeman, and Samoa: The Problem of Seeing Things as They are",,,,Ethos,,
samo,"Reading Samoans through ""Tahitians""",,,,Ethos,,
samo,"Samoa, on the Wilde Side: Male Transvestism, Oscar Wilde, and Liminality in Making Gender",,,,Ethos,,
samo,Weighing up the Factors: Moral Reasoning and Culture Change in a Samoan Community,,,,Ethos,,
teke,"'Kijk, dames en heren, het zit namelijk zo...!': Enkele kanttekeningen bij de roep om duidelijkheid in een onduidelijke wereld",,,,Etnofoor,,
teke,Book Review : Die Erinnerung an 'das Herz der Stadt': Geschichts- und Gedächtnisbilder vom Potsdamer Platz Dieteke van der Ree,,,,Etnofoor,,
teke,Book Review : Termen van Toverij. De veranderende betekenis van toverij in Noordoost-Nederland tussen de 16de en 20ste eeuw Willem de Blécourt,,,,Etnofoor,,
saka,Islam and Its Others: Sakaraboutou as Masquerade in Bondoukou (Côte d'Ivoire),,,,Etnofoor,,
arianism,Solidarity #Humanitarianism,,,,Etnofoor,,
arthur,Frames of Reference: Remarks on Eudora Welty and Sir Arthur Eddington,,,,Eudora Welty Newsletter,,
arthur,"One with the World: The Arthurian Myth Cycles in Welty's ""Ladies in Spring""",,,,Eudora Welty Newsletter,,
samo,Book Review : Serious Daring: The Fiction and Photography of Eudora Welty and Rosamond Purcell Susan Letzler Cole,,,,Eudora Welty Review,,
burgundy,Environmental and familial risk factors in relation to the colorectal adenomacarcinoma sequence: results of a case-control study in Burgundy (France),,,,European Journal of Cancer Prevention,,
burgundy,Foods as risk factors for colorectal cancer: a case-control study in Burgundy (France),,,,European Journal of Cancer Prevention,,
burgundy,Participation in mass screening for colorectal cancer: results of screening and rescreening from the Burgundy study,,,,European Journal of Cancer Prevention,,
arianism,Beyond Electoral Authoritarianism in Transitional Myanmar,,,,European Journal of East Asian Studies,,
arianism,In Search of Stability: Electoral Legitimation under Authoritarianism in Myanmar,,,,European Journal of East Asian Studies,,
danes,Apolipoprotein E Genotype Frequency Patterns in Aged Danes as Revealed by Logistic Regression Models,,,,European Journal of Epidemiology,,
danes,"Sex Differential in Mortality Trends of Old-Aged Danes: A Nation Wide Study of Age, Period and Cohort Effects",,,,European Journal of Epidemiology,,
teke,Book Review : Live Events and the Housing Career. A Retrospective Analysis of Timed Effects Peteke Feijten,,,,European Journal of Population / Revue Europ?enne de D?mographie,,
attila,Book Review : International Investment Law in Latin America/Derecho Internacional de las Inversiones en América Latina Attila Tanzi Alessandra Asteriti Rodrigo Polanco Lazo Paolo Turrini,,,,European Journal of Risk Regulation,,
teke,Enlisting Internal and External Financial Gatekeepers,,,,European Journal of Risk Regulation,,
anglo-saxon,Collective Oath: Compurgation in Anglo-Saxon England and African states,,,,European Journal of Sociology / Archives Européennes de Sociologie / Europäisches Archiv für Soziologie,,
arianism,EGALITARIANISM IN ENGLISH AND FRENCH EDUCATIONAL SOCIOLOGY,,,,European Journal of Sociology / Archives Européennes de Sociologie / Europäisches Archiv für Soziologie,,
arianism,Millenarianism and Mahdism in Lebanon,,,,European Journal of Sociology / Archives Européennes de Sociologie / Europäisches Archiv für Soziologie,,
arianism,THE DOUBLE TRINITARIANISM OF THE NEANDERTHAL OF TRINITY,,,,European Journal of Sociology / Archives Européennes de Sociologie / Europäisches Archiv für Soziologie,,
angles,"TRISTAN AND ISOLDE OR THE TRIANGLES OF DESIRE: JEALOUSY, EROTICISM AND POETICS",,,,European Joyce Studies,,
arthur,A RESPONSE TO ARTHUR GREEN'S PAPER,,,,European Judaism: A Journal for the New Europe,,
arthur,Book Review : An Admirable Woman Arthur Cohen,,,,European Judaism: A Journal for the New Europe,,
alans,Book Review : Cants de Noces dels Jueus Catalans Jaume Riera i Sans,,,,European Judaism: A Journal for the New Europe,,
arthur,Book Review : These Are the Words: A Vocabulary of Jewish Spiritual Life Arthur Green,,,,European Judaism: A Journal for the New Europe,,
arthur,Book Review : Zohar: The Book of Enlightenment Daniel C. Matt Arthur Green,,,,European Judaism: A Journal for the New Europe,,
getica,Eve Was Framed and Other Interpretations from the Exegetical Vanguard,,,,European Judaism: A Journal for the New Europe,,
arthur,Gershom Scholem and Arthur A. Cohen,,,,European Judaism: A Journal for the New Europe,,
getica,THE BOOK OF RUTH AS EXEGETICAL LITERATURE,,,,European Judaism: A Journal for the New Europe,,
justinian,THE STATUS OF THE JEWS IN ROMAN LEGISLATION: THE REIGN OF JUSTINIAN 527-565 CE,,,,European Judaism: A Journal for the New Europe,,
angles,"Book Review : Crise, violence, dé-civilisation. Essai sur les angles morts de la cité",,,,European Review of International Studies,,
antes,Book Review : Vigilantes Beyond Borders: NGOs as Enforcers of International Law,,,,European Review of International Studies,,
arianism,The Limits of Liberal Humanitarianism in Europe,,,,European Review of International Studies,,
antes,"Book Review : Comercio y poder en América colonial. Los consulados de comerciantes, siglos XVII-XIX Breen Hausberger Antonio Ibarra",,,,European Review of Latin American and Caribbean Studies / Revista Europea de Estudios Latinoamericanos y del Caribe,,
saka,"Book Review : For God and Revolution. Priest, Peasant, and Agrarian Socialism in the Mexican Huasteca Mark Saad Saka",,,,European Review of Latin American and Caribbean Studies / Revista Europea de Estudios Latinoamericanos y del Caribe,,
teke,"Book Review : Het boek van Huarochirí. Mythen en riten van het oude Peru, zoals opgetekend in de zestiende eeuw voor Francisco de Avila, bestrijder van de afgoderij Willem F.H. Adelaar",,,,European Review of Latin American and Caribbean Studies / Revista Europea de Estudios Latinoamericanos y del Caribe,,
antes,"Book Review : Madres, obreras, amantes... Protagonismo femenino en la historia de América Latina Barbara Potthast",,,,European Review of Latin American and Caribbean Studies / Revista Europea de Estudios Latinoamericanos y del Caribe,,
arthur,Book Review : Raised Field Technology. The Raised Field Projects around Lake Titicaca Arthur Morris,,,,European Review of Latin American and Caribbean Studies / Revista Europea de Estudios Latinoamericanos y del Caribe,,
samo,Book Review : La desamortización civil desde perspectivas plurales,,,,European Review of Latin American and Caribbean Studies / Revista Europea de Estudios Latinoamericanos y del Caribe,,
arianism,Chile's democratic road to authoritarianism,,,,European Review of Latin American and Caribbean Studies / Revista Europea de Estudios Latinoamericanos y del Caribe,,
antes,Humala antes de Ollanta: evolución política del nuevo presidente peruano,,,,European Review of Latin American and Caribbean Studies / Revista Europea de Estudios Latinoamericanos y del Caribe,,
antes,"Los militantes de base de la izquierda chilena: Orígenes sociales, motivaciones y experiencias en la época de la Unidad popular y en los años anteriores",,,,European Review of Latin American and Caribbean Studies / Revista Europea de Estudios Latinoamericanos y del Caribe,,
antes,Pandemia y planes de retiro de los traficantes de migrantes mexicanos,,,,European Review of Latin American and Caribbean Studies / Revista Europea de Estudios Latinoamericanos y del Caribe,,
antes,Violencia contra inmigrantes en Tamaulipas,,,,European Review of Latin American and Caribbean Studies / Revista Europea de Estudios Latinoamericanos y del Caribe,,
arianism,"Authoritarianism, Post-Soviet Heritage and University Development in Ukraine",,,,European University Legacies: Problematic Heritage and Contemporary Practice,,
arthur,Principales obras del Prof. Sir Arthur Lewis,,,,Evolución del orden económico internacional,,
antes,"FISCOS Y CAUSANTES, 1910-1950",,,,"Excepciones y privilegios: modernización tributaria y centralización en México, 1922-1972",,
getica,Exegetical enunciations of the geometric quadrature of circles: comprising a further series of expositions and demonstrative tests in proof of that theory as discovered and announced in the mathematical Jewel,,,,Exegetical enunciations of the geometric quadrature of circles: comprising a further series of expositions and demonstrative tests in proof of that theory as discovered and announced in the mathematical Jewel,,
dark ages,Getting Ready for the Dark Ages?,,,,"Extremism, Society, and the State",,
antes,Communalisation religieuse et pluralité nationale L’accueil des migrants par les Églises protestantes en Corée du Sud,,,,Extrême-Orient Extrême-Occident,,
antes,Des mots et des plantes dans le Bencao gangmu de Li Shizhen,,,,Extrême-Orient Extrême-Occident,,
antes,"Des mots, des animaux et des plantes",,,,Extrême-Orient Extrême-Occident,,
antes,Essence et utilité: la classification des plantes cultivées en Chine,,,,Extrême-Orient Extrême-Occident,,
late antiquity,"Humans, Spirits, and Sages in Chinese Late Antiquity: Ge Hong's ""Master Who Embraces Simplicity (Baopuzi)""",,,,Extrême-Orient Extrême-Occident,,
xiongnu,"L’empire Hünnü/Xiongnu, nouvel âge d’or des Mongols ? Imaginaire, nationalisme, mode et marketing en république de Mongolie",,,,Extrême-Orient Extrême-Occident,,
antes,PERSPECTIVES COMPARATISTES: REPRÉSENTATIONS COSMOLOGIQUES ET PRATIQUES SIGNIFIANTES DANS LA TRADITION CHINOISE,,,,Extrême-Orient Extrême-Occident,,
antes,"Plantes et noms, plantes sans nom dans le ""Zhiwu Mingshi Tukao""",,,,Extrême-Orient Extrême-Occident,,
antes,Une écriture en images : les armoiries parlantes,,,,Extrême-Orient Extrême-Occident,,
crusades,FORGETTING OSAMA BIN MUNQIDH REMEMBERING OSAMA BIN LADEN: THE CRUSADES IN MODERN MUSLIM MEMORY,,,,FORGETTING OSAMA BIN MUNQIDH REMEMBERING OSAMA BIN LADEN: THE CRUSADES IN MODERN MUSLIM MEMORY,,
arianism,FPI Bulletin: Boris Nemtsov’s Threat to Putin’s Authoritarianism,,,,FPI Bulletin: Boris Nemtsov’s Threat to Putin’s Authoritarianism,,
arianism,FPI Bulletin: Can China Make a World Safe for Authoritarianism?,,,,FPI Bulletin: Can China Make a World Safe for Authoritarianism?,,
post-roman,Post-Roman use of Wall fabric,,,,"Fabric of the Frontier: Prospection, Use, and Re-Use of Stone from Hadrian’s Wall",,
antes,Factores habilitantes de la aceptación social de los proyectos eólicos en La Guajira,,,,Factores habilitantes de la aceptación social de los proyectos eólicos en La Guajira,,
antes,PUEBLOS ERRANTES,,,,"Familias novohispanas, siglos XVI al XIX: Seminario de historia de la familia, Centro de Estudios Históricos",,
arianism,"Egalitarianism in Retired Rural Couples: Household Tasks, Decision Making, and Leisure Activities",,,,Family Relations,,
teke,"Fathers' Involvement in Child Health Care: Associations with Prenatal Involvement, Parents' Beliefs, and Maternal Gatekeeping",,,,Family Relations,,
teke,Husband Gatekeeping in Childbirth,,,,Family Relations,,
teke,"Intimate Partner Violence, Maternal Gatekeeping, and Child Conduct Problems",,,,Family Relations,,
teke,"Paternal Identity, Maternal Gatekeeping, and Father Involvement",,,,Family Relations,,
danes,Remittance Patterns of Southern Sudanese Refugee Men: Enacting the Global Breadwinner Role,,,,Family Relations,,
teke,The Maternal Gatekeeping Scale: Constructing a Measure,,,,Family Relations,,
